مەهاباد	هەولێر	سنە	سلێمانی	ستاندارد	ڕۆڵی ڕێزمانی
بۆ	لۆ	بۆ	بۆ	بۆ	وردەوشە
بێ	بی	بێ	بێ	بێ	وردەوشە
بە	بە	بە / وە	بە	بە	وردەوشە
لە / وە	لە	لە	لە	لە	وردەوشە
بۆ من	لۆ من	بۆ من	بۆ من	بۆ من	وردەوشە
بۆ تۆ	لۆ تۆ	بۆ تۆ	بۆ تۆ	بۆ تۆ	وردەوشە
بۆ وی	لۆ وی	بۆ ئەو	بۆ ئەو	بۆ ئەو	وردەوشە
بۆ مە	لۆ مە	بۆ ئێمە	بۆ ئێمە	بۆ ئێمە	وردەوشە
بێ مە	بی مە	بێ ئێمە	بێ ئێمە	بێ ئێمە	وردەوشە
بە مە	بە مە	بە ئێمە	بە ئێمە	بە ئێمە	وردەوشە
لە مە	لە مە	لە ئێمە	لە ئێمە	لە ئێمە	وردەوشە
بۆ نگۆ	لۆ نگۆ	بۆ ئێوە	بۆ ئێوە	بۆ ئێوە	وردەوشە
دەگەڵ	لەگەر	لەتەک / تەک	لەگەڵ	لەگەڵ	وردەوشە
دەگەڵدا	لەگەردا	لەتەکا	لەگەڵا	لەگەڵدا	وردەوشە
دەگەڵدا	لەگەردا	تەکا	لەگەڵا	لەگەڵدا	وردەوشە
دەگەڵ مە	لەگەر مە	لەتەک ئێمە	لەگەڵ ئێمە	لەگەڵ ئێمە	وردەوشە
ڕەگەڵ مە	لەگەر مە	لەتەک ئێمە	لەگەڵ ئێمە	لەگەڵ ئێمە	وردەوشە
لە کن مە	لە کن مە	لە لای ئێمە	لە لای ئێمە	لە لای ئێمە	وردەوشە
بۆ وان	لۆ وان	بۆ ئەوان	بۆ ئەوان	بۆ ئەوان	وردەوشە
بێ وان	بی وان	بێ ئەوان	بێ ئەوان	بێ ئەوان	وردەوشە
بە وان	بە وان	بە ئەوان	بە ئەوان	بە ئەوان	وردەوشە
لە وان	لە وان	لە ئەوان	لە ئەوان	لە ئەوان	وردەوشە
دەگەڵ وان	لەگەر وان	لەتەک ئەوان	لەگەڵ ئەوان	لەگەڵ ئەوان	وردەوشە
ڕەگەڵ وان	لەگەر وان	لەتەک ئەوان	لەگەڵ ئەوان	لەگەڵ ئەوان	وردەوشە
لە کن وان	لە کن وان	لە لای ئەوان	لە لای ئەوان	لە لای ئەوان	وردەوشە
لە کن	لە کن	لە لا	لە لا	لە لا	وردەوشە
پێ	پێ	پێ	پێ	پێ	وردەوشە
تێ	تێ	تێ	تێ	تێ	وردەوشە
لێ	لێ	لێ	لێ	لێ	وردەوشە
پێت	پێت	پێت / پێو	پێت / پێو	پێت	وردەوشە
پێی	پێی	پێی	پێی	پێی	وردەوشە
پێمان	پێمان	پێمان	پێمان	پێمان	وردەوشە
پێتان / پێو	پێتان	پێتان	پێتان	پێتان	وردەوشە
پێیان	پێیان	پێیان	پێیان	پێیان	وردەوشە
تێت	تێت	تێت / تێو	تێت / تێو	تێت	وردەوشە
بۆت	بۆت	بۆت	بۆت / بۆو	بۆت	وردەوشە
لێت	لێت	لێو	لێو	لێت	وردەوشە
لێت	لێت	لێت	لێت	لێت	وردەوشە
دەگەڵمدا / ڕەگەڵمدا	لەگەرمدا	لەتەکما	لەگەڵما	لەگەڵمدا	وردەوشە
دەگەڵتدا / ڕەگەڵتدا	لەگەرتدا	لەتەکتا	لەگەڵتا	لەگەڵتدا	وردەوشە
دەگەڵیدا / ڕەگەڵیدا	لەگەریدا	لەتەکیا	لەگەڵیا	لەگەڵیدا	وردەوشە
دەگەڵماندا / ڕەگەڵماندا	لەگەرماندا	لەتەکمانا	لەگەڵمانا	لەگەڵماندا	وردەوشە
دەگەڵتاندا / ڕەگەڵتاندا	لەگەرتاندا	لەتەکتانا	لەگەڵتانا	لەگەڵتاندا	وردەوشە
دەگەڵیاندا / ڕەگەڵیاندا	لەگەریاندا	لەتەکیانا	لەگەڵیانا	لەگەڵیاندا	وردەوشە
وە	وە	∅	∅	وە	وردەوشە
ڕە	ڕە	∅	∅	ڕە	وردەوشە
وێ	وێ	∅	∅	وێ	وردەوشە
لەوێڕا	لەوێڕا	لێنەو	لەوێوە	لەوێڕا	وردەوشە
ڕۆ	ڕۆ	∅	∅	ڕۆ	وردەوشە
گرتن	گرتن	گرتن	گرتن	گرتن	کردار
بردن	بردن	بردن	بردن	بردن	کردار
خستن	خستن	خستن	خستن	خستن	کردار
کەوتن	کەوتن	کەفتن	کەوتن	کەوتن	کردار
هەمە	هەمە	هەسم	هەمە	هەمە	کردار
هەتە	هەتە	هەست	هەتە	هەتە	کردار
هەیە	هەیە	هەسی	هەیە	هەیە	کردار
هەیەتی	هەیەتی	هەسی	هەیەتی	هەیەتی	کردار
هەمانە	هەمانە	هەسمان	هەمانە	هەمانە	کردار
هەتانە	هەتانە	هەستان	هەتانە	هەتانە	کردار
هەیانە	هەیتیان	هەسیان	هەیانە	هەیانە	کردار
نیمە	نیتم	نیەسم	نیمە	نیمە	کردار
نیتە	نیتت	نیەست	نیتە	نیتە	کردار
نییەتی	نیتی	نیەسی	نییەتی	نییەتی	کردار
نیمانە	نیتمان	نیەسمان	نیمانە	نیمانە	کردار
نیتانە	نیتتان	نیەستان	نیتانە	نیتانە	کردار
نیانە	نیتیان	نیەسیان	نیانە	نیانە	کردار
دەبێ	دەبی	ئەوێ(ت)	ئەبێ(ت)	دەبێت	کردار
بێ	بی	بێ(ت) / وێ(ت)	بێ(ت)	بێت	کردار
نی	نی	نیت	نیت	نیت	کردار
 نییە / نێ	نێ	نییە	نییە	نییە	کردار
وەرە	وەرە	بێ	وەرە	وەرە	کردار
کوتم	گۆتم	وتم	وتم	وتم	کردار
کوتت	گۆتت	وتت	وتت	وتت	کردار
کوتی	گۆتی	وتی	وتی	وتی	کردار
کوتمان	گۆتمان	وتمان	وتمان	وتمان	کردار
کوتتان	گۆتتان	وتتان	وتتان	وتتان	کردار
کوتیان	گۆتیان	وتیان	وتیان	وتیان	کردار
دەڵێم	دەرێم	ئەیژم(ت) / ئێیژم(ت)	ئەڵێم	دەڵێم	کردار
دەڵێی	دەرێی	ئەیژی(ت) / ئێیژی(ت)	ئەڵێی(ت)	دەڵێیت	کردار
دەڵێ	دەرێ	ئەیژێ / واسە	ئەڵێ	دەڵێ	کردار
دەڵێین	دەرێین	ئەیژین	ئەڵێین	دەڵێین	کردار
دەڵێن	دەرێن	ئەیژن	ئەڵێن	دەڵێین	کردار
برێ	بڵێ	بێژە	بڵێ	بڵێ	کردار
دەتوانێ	دەتانێ	ئەتوانێ(ت) / ئەتانێ(ت)	ئەتوانێ(ت)	دەتوانێت	کردار
دەمهەوێ	دەمهەوێ	گەرەکمە	ئەمەوێ	دەمەوێ	کردار
دەمانەوێ	دەمانەوێ	گەرەکمانە	ئەمانەوێ	دەمانەوێ	کردار
گرتم	گرتم	گرتم	گرتم	گرتم	کردار
گرتت	گرتت	گرتت	گرتت	گرتت	کردار
گرتی	گرتی	گرتی	گرتی	گرتی	کردار
گرتمان	گرتمان	گرتمان	گرتمان	گرتمان	کردار
گرتتان	گرتتان	گرتتان	گرتتان	گرتتان	کردار
گرتیان	گرتیان	گرتیان	گرتیان	گرتیان	کردار
نەمگرت	نەمگرت	نەمگرت	نەمگرت	نەمگرت	کردار
نەتگرت	نەتگرت	نەتگرت	نەتگرت	نەتگرت	کردار
نەیگرت	نەیگرت	نەیگرت	نەیگرت	نەیگرت	کردار
نەمانگرت	نەمانگرت	نەمانگرت	نەمانگرت	نەمانگرت	کردار
نەتانگرت	نەتانگرت	نەتانگرت	نەتانگرت	نەتانگرت	کردار
نەیانگرت	نەیانگرت	نەیانگرت	نەیانگرت	نەیانگرت	کردار
دەگرم	دەگرم	ئەگرم	ئەگرم	دەگرم	کردار
دەگری	دەگری	ئەگری(ت)	ئەگری(ت)	دەگریت	کردار
دەگرێ	دەگرێ	ئەگرێ(ت)	ئەگرێ(ت)	دەگرێ	کردار
دەگرین	دەگرین	ئەگرین	ئەگرین	دەگرین	کردار
دەگرن	دەگرن	ئەگرن	ئەگرن	دەگرن	کردار
گرتمی	گرتمی	گرتتم	گرتمی	گرتمی	کردار
گرتتم	گرتتم	گرتمت	گرتتم	گرتتم	کردار
گرتمن	گرتمن	گرتیانم	گرتمن	گرتمن	کردار
گرتیانم	گرتیانم	گرتمیان	گرتیانم	گرتیانم	کردار
گرتیانین	گرتیانین	گرتمانتان	گرتیانین	گرتیانین	کردار
دەبارێ	دەبارێ	ئەوارێ(ت)	ئەبارێ(ت)	دەبارێت	کردار
دەسووتێنم	دەسووتێنم	ئەسووتنم	ئەسووتێنم	دەسووتێنم	کردار
دادەبەزم	دادەبەزم	دائەخۆزم	دائەبەزم	دادەبەزم	کردار
دادەمەزرێ	دادەمەزرێ	دائەمەرزێ	دائەمەزرێ	دادەمەزرێ	کردار
دامەزران	دامەزران	دامەرزیان	دامەزران	دامەزران	کردار
سووتاندن	سووتاندن	سووتاننن	سووتاندن	سووتاندن	کردار
برژاندن	برژاندن	برژانن	برژاندن	برژاندن	کردار
دەنووم	دەنووم	ئەخەفم	ئەخەوم	دەخەوم	کردار
دەخۆم	دەخۆم	ئەخوەم	ئەخۆم	دەخۆم	کردار
دەخۆمەوە	دەخۆمەوە	ئەخوەمەو	ئەخۆمەوە	دەخۆمەوە	کردار
کوترا	گۆترا	وتیاگ	وترا	وترا	کردار
دەکوترێ	دەگۆترێ	ئەوتگێ(ت) / ئەوێژگێ(ت)	ئەوترێ(ت)	دەوترێت	کردار
هێندراوەتەوە	هێنایتیانەوە	هاوریاگەسەو	هێنراوەتەوە	هێنراوەتەوە	کردار
هاتبووەوە	هاتبووەوە	هاتووەو	هاتبووەوە	هاتبووەوە	کردار
خواردبووم	خواردبووم	خواردووم	خواردبووم	خواردبووم	کردار
هاتووم	هاتووم	هاتگم	هاتووم	هاتووم	کردار
کردوومە	کردیتم	کردگمە	کردوومە	کردوومە	کردار
هەڵتداشت	هەرتداشت	هەڵتدێرا	هەڵتداشت	هەڵتداشت	کردار
کردووە	کردیە	کردگە / کردیە	کردووە	کردووە	کردار
هەڵگرتن	هەرگرتن	هەڵگرتن	هەڵگرتن	هەڵگرتن	کردار
داگرتن	داگرتن	داگرتن	داگرتن	داگرتن	کردار
ڕاگرتن	ڕاگرتن	گرتنەوە	ڕاگرتن	ڕاگرتن	کردار
سەرگرتن	سەرگرتن	سەرگرتن	سەرگرتن	سەرگرتن	کردار
بەرگرتن	بەرگرتن	بەرگرتن	بەرگرتن	بەرگرتن	کردار
وەرگرتن	وەرگرتن	گرتن / وەرگرتن	وەرگرتن	وەرگرتن	کردار
لێگرتن	لێگرتن	لێگرتن	لێگرتن	لێگرتن	کردار
تێگرتن	تێگرتن	تێگرتن	تێگرتن	تێگرتن	کردار
ڕۆنیشتن	ڕۆنیشتن	دانیشتن	دانیشتن	ڕۆنیشتن	کردار
-م / -مە	 -مە	-م	-م	هەبوون (١ تاک)	کردار
-ی / -تە	-تە	-ی	-ی	هەبوون (٢ تاک)	کردار
-ە / -یە	 -یە	-ە	-ە	هەبوون (٣ تاک)	کردار
-ین / -ینە	 -ینە	-ین	-ین	هەبوون (١ کۆ)	کردار
-ن / -نە	 -نە	-ن	-ن	هەبوون (٢ کۆ)	کردار
-ن / -نە	-نە	-ن	-ن	هەبوون (٣ کۆ)	کردار
بدەم	بدەم	بەم	بەم	بدەم	کردار
یەک	یەک	یەک	یەک	یەک	ژمارە
دوو	دوو	دوو	دوو	دوو	ژمارە
سێ	سێ	سێ	سێ	سێ	ژمارە
چار	چوار	چوار	چوار	چوار	ژمارە
پێنج	پێنج	پەنج	پێنج	پێنج	ژمارە
شەش	شەش	شەش	شەش	شەش	ژمارە
حەوت	حەوت	حەفت	حەوت	حەوت	ژمارە
هەشت	هەشت	هەشت	هەشت	هەشت	ژمارە
نۆ	نۆ	نۆ	نۆ	نۆ	ژمارە
دە	دە	دە	دە	دە	ژمارە
یازدە	یازدە	یانگزە	یانگزە	یازدە	ژمارە
دوازدە	دوازدە	دوانگزە	دوانگزە	دوازدە	ژمارە
سێزدە	سێزدە	سانگزە	سانگزە	سێزدە	ژمارە
چاردە	چاردە	چواردە	چواردە	چواردە	ژمارە
پازدە	پازدە	پانگزە	پانگزە	پازدە	ژمارە
شازدە	شازدە	شانگزە	شانگزە	شازدە	ژمارە
هەڤدە	هەڤدە	حەڤڤە	هەڤدە	هەڤدە	ژمارە
هەژدە	هەژدە	هەژدە	هەژدە	هەژدە	ژمارە
نۆزدە	نۆزدە	نۆزدە	نۆزدە	نۆزدە	ژمارە
بیست	بیست	بیس	بیس	بیست	ژمارە
سی	سی	سی	سی	سی	ژمارە
چل	چل	چل	چل	چل	ژمارە
پەنجا	پەنجا	پەنجا	پەنجا	پەنجا	ژمارە
شێست	شێست	شەس	شەس	شەست	ژمارە
حەفتا	حەفتا	حەفتا	حەفتا	حەفتا	ژمارە
هەشتا	هەشتا	هەشتا	هەشتا	هەشتا	ژمارە
نەوەد	نەوەد	نەوە	نەوە	نەوەد	ژمارە
سەت	سەت	سە	سە	سەت	ژمارە
هەزار	هەزار	هەزار	هەزار	هەزار	ژمارە
چەند	چەند	چەن	چەن	چەند	هتد
وانێک	هەرامە	هین	هین	هین	هتد
هەموو	هەموو	گشت	هەموو	هەموو	هتد
خۆم	خۆم	خوەم	خۆم	خۆم	هتد
بەخودای	بەخوای	بەخوا	بەخوا	بەخوا	هتد
یاخودا	یاخوە	یاخوا	یاخوا	یاخوا	هتد
کەنگێ	کەنگی	کەی	کەی	کەی	هتد
جا	ئەوجا	جا	ئینجا	ئینجا	هتد
هەتا	هەتا	هەتا	هەتا	هەتا	هتد
ئەدی	ئەدی	ئەرێ	ئەرێ	ئەرێ	هتد
وەکوو	وەکی	وەک	وەک	وەکوو	هتد
چی	چی	چە	چی	چی	هتد
ئی	ئی	هین	هی	ئی	هتد
ئەدی	ئەدی	ئەی	ئەی	ئەی	هتد
کێهە	کیهە	کام	کام	کام	هتد
چەند	چەند	چەن	چەن	چەن	هتد
لە کۆ	کا	کوا	کوا	کوا	هتد
چۆن	کوو	چۆن	چۆن	چۆن	هتد
وا	وا	وا	وا	وا	هتد
دی	دیکە	تر	کە	دیکە	هتد
جا	ئەوجا	جا	جا	جا	هتد
چێ	چێ	چەس	چییە	چییە	هتد
کێ	کێ	کێ / کی	کێ	کێ	هتد
لە باتی	لە باتی	لە واتی	لە باتی	لە باتی	هتد
چما	چما	چما	∅	چما	هتد
∅	∅	تمەز	توومەس	توومەس	هتد
نەوەک	نەکا	نەکا	نەکا	نەکا	هتد
بریا	بریا	خۆزگا	خۆزگا	خۆزگا	هتد
